date,Govt Bond Yield 10 Yr,Real GDP Growth,BI7DRR,Deposit Rate 1M,Deposit Rate 3M,Deposit Rate 6M,Deposit Rate 12M,CPI,JISDOR Exchange Rate,Informal Employment,Cement,Stock Index,Fed Funds,FX,FPI,IPI,JIBOR,JIBOR_1,PMI,Money Supply,Money Supply_1,Motor Sales,Retail,CCI,Exports,Imports,Loans,Trade Bal,Unemployment,Gov Bond,Import Price Index,GFCF,Capacity Utilization,Terms of Trade,Disposable Income,Crude Oil Price,Household Debt,Tax Revenue,Export Price Index,Fiscal Balance,Manufacturing Wages YoY,Household Consumption,Imports Capital Goods,Government Expenditure
1996-12-30,,18.68738201,,16.788333333333348,17.20833333333335,16.90166666666665,16.75666666666665,6.707901493333335,,0.0,62637.607,579.342,5.297140287132225,,0.0,0.0,14.47579766139655,15.3383560292365,,693132.16488055,3147481.98110057,784490.0,0.0,0.0,118412.186987,0.0,0.0,0.0,,6.561666666666666,95.82465998500001,0.0,,,0.0,21.33166666666665,0.0,0.0,89.48828633666665,0.0,,0.0,0.0,0.0
1997-06-30,,12.745976970000001,,15.82333333333335,16.369999999999997,16.25833333333335,16.380000000000003,4.660123035,,0.0,54202.242,688.5598333333335,5.40446183386506,,0.0,0.0,12.90827396274775,13.77965910685805,,701221.20147166,3231988.69334796,871674.0,0.0,0.0,110490.404612,0.0,0.0,0.0,,6.63,95.65812683333331,0.0,,,0.0,19.911666666666648,0.0,0.0,89.37174224833335,0.0,-4.32972106,0.0,0.0,0.0
1997-12-30,,6.38673992,,26.310000000000002,23.6583333333333,16.39,16.1783333333333,7.76765817666667,,0.0,64821.693,510.959666666667,5.5212655086848645,,0.0,0.0,25.3069305144091,24.06324434369575,,531243.79605168,2302005.43178229,799735.0,0.0,0.0,121146.035703,0.0,0.0,0.0,,6.074999999999999,95.439973195,0.0,,,0.0,18.203333333333298,0.0,0.0,88.94158299833335,0.0,-4.32972106,0.0,0.0,0.0
1998-06-30,,-17.83160647,,43.28666666666665,29.5166666666667,19.823333333333352,19.57,38.674911085,,0.0,38687.649,472.7101666666665,5.50960699515538,,0.0,0.0,44.7647790898411,36.68354359751175,,259769.14424902,1194878.6103865,151250.0,0.0,0.0,107312.90998,0.0,0.0,0.0,,5.59166666666667,94.568457285,0.0,,1.327435415,0.0,13.055,0.0,0.0,87.449034375,0.0,-67.8109692,0.0,0.0,0.0
1998-12-30,,-34.2579103,,53.82833333333335,48.616666666666646,33.8566666666667,24.604999999999997,77.341751645,,0.0,45240.475000000006,364.23033333333353,5.195070306038049,,0.0,0.0,61.87805241528065,53.14033533071315,,292404.87353692,1599876.20519194,97367.0,0.0,0.0,105070.93719699999,0.0,0.0,0.0,,4.936666666666665,94.206417085,0.0,,1.170934843333335,0.0,11.90166666666665,0.0,0.0,86.58664067666665,0.0,-67.8109692,0.0,0.0,0.0
1999-06-30,,-4.33758836,,33.525000000000006,35.205,31.58,29.578333333333347,43.783437219999996,,0.0,37782.027,490.689166666667,4.74426763559022,,0.0,11.8020954866667,34.7734438851965,35.5253240487013,,327981.48842696997,2087906.9287300901,99179.0,0.0,0.0,94747.176852,0.0,0.0,0.0,,5.261666666666665,94.343283335,0.0,,1.0802963399999999,0.0,13.446666666666651,0.0,0.0,86.59939066333335,0.0,51.07250059,0.0,0.0,0.0
1999-12-30,,8.20407454,,13.355,16.27,19.155,25.4283333333333,4.2704992416666645,,0.0,43821.534,594.5708333333334,5.204562448304385,,0.0,27.7098752733334,13.82352491514525,14.041132441966251,,406390.31291683996,2188858.28666778,306383.0,0.0,0.0,116989.77578600001,0.0,0.0,0.0,,6.011666666666665,95.5330518083333,0.0,,1.088362906666665,0.0,21.5866666666667,0.0,0.0,88.83256785,0.0,51.07250059,0.0,0.0,0.0
2000-06-30,,9.248570220000001,,10.89,12.25833333333335,12.8116666666667,17.80666666666665,0.25225240833333495,,0.0,42341.467,548.7273333333335,5.966452382989649,338032.3,0.0,26.2017451833333,11.593853526334751,12.089921205182101,,414285.76147693,2143005.97867174,546280.0,0.0,0.0,126673.580585,0.0,0.0,0.0,,6.328333333333335,96.13571039666665,0.0,,1.195550358333335,1482.0,26.52,0.0,0.0,90.25477091666664,0.0,24.34478869,0.0,0.0,110733.35
2000-12-30,,10.453301530000001,,11.44666666666665,12.748333333333349,12.805,12.3333333333333,7.222963363333335,,0.0,54529.327000000005,438.465166666667,6.49964681555004,354686.07,0.0,22.01563032666667,13.5910768912338,13.6133135872114,,402122.19484991,2022809.2938744598,755667.0,0.0,0.0,142028.761073,0.0,0.0,0.0,,5.73,96.55675506666665,0.0,,1.304272633333335,1482.0,30.265,0.0,0.0,91.33442688,0.0,24.34478869,0.0,0.0,110733.35
2001-06-30,,9.63824688,,13.671666666666699,14.64833333333335,14.47833333333335,13.1566666666667,10.244191768333351,,0.0,50753.17,406.113666666667,4.99375942337233,362415.35,0.0,20.9904592933333,15.640343696608948,15.715566154040399,,375981.79175967,1864753.6185137602,636860.0,0.0,0.0,127075.561683,0.0,0.0,0.0,,5.16,96.24310557000001,0.0,,1.30294535333333,1392.6,26.25666666666665,0.0,0.0,90.86455027166664,0.0,3.32457625,0.0,0.0,170781.3
